 ROW_ID, APPLICATION_ID, APPLICATION_SHORT_NAME, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, BASEPATH, APPLICATION_NAME, DESCRIPTION, PRODUCT_CODE
AAA/cZAGXAAAFzcAAA,272,ABM,06.04.06,120,01.12.99,1,0,ABM_TOP,Activity Based Management (Obsolete),,ABM
AAA/cZAGXAAAFzcAAB,50,AD,29.08.05,120,12.08.97,1,0,AD_TOP,Applications DBA,,AD
AAA/cZAGXAAAFzcAAC,601,AK,29.08.05,120,12.08.97,1,0,AK_TOP,Common Modules-AK,,AK
AAA/cZAGXAAAFzcAAD,160,ALR,29.08.05,120,12.08.97,1,0,ALR_TOP,Alert,,ALR
AAA/cZAGXAAAFzcAAE,530,AMS,29.08.05,120,27.01.99,1,0,AMS_TOP,Marketing,,AMS
AAA/cZAGXAAAFzcAAF,520,AMV,29.08.05,120,09.02.99,1,0,AMV_TOP,Marketing Encyclopedia System,,AMV
AAA/cZAGXAAAFzcAAG,501,AN,29.08.05,120,12.08.97,1,0,AN_TOP,Sales Analysis,,AN
AAA/cZAGXAAAFzcAAH,222,AR,29.08.05,120,12.08.97,1,0,AR_TOP,Receivables,,AR
AAA/cZAGXAAAFzcAAI,279,AS,29.08.05,120,12.08.97,1,0,AS_TOP,Sales Foundation,,AS
AAA/cZAGXAAAFzcAAJ,522,ASF,29.08.05,120,12.05.99,1,0,ASF_TOP,Sales Online,,ASF
AAA/cZAGXAAAFzcAAK,689,ASG,29.08.05,120,10.09.99,1,0,ASG_TOP,CRM Gateway for Mobile Devices,,ASG
AAA/cZAGXAAAFzcAAL,697,ASO,29.08.05,120,02.09.99,1,0,ASO_TOP,Order Capture,,ASO
AAA/cZAGXAAAFzcAAM,521,AST,29.08.05,120,12.05.99,1,0,AST_TOP,TeleSales,,AST
AAA/cZAGXAAAFzcAAN,3,AU,29.08.05,120,12.08.97,1,0,AU_TOP,Application Utilities,,AU
AAA/cZAGXAAAFzcAAO,600,AX,29.08.05,120,12.08.97,1,0,AX_TOP,Global Accounting Engine,,AX
AAA/cZAGXAAAFzcAAP,190,AZ,29.08.05,120,03.09.98,1,0,AZ_TOP,Application Implementation,,AZ
AAA/cZAGXAAAFzcAAQ,805,BEN,29.08.05,120,12.08.97,1,0,BEN_TOP,Advanced Benefits,,PER
AAA/cZAGXAAAFzcAAR,518,BIC,28.11.05,120,12.05.99,1,0,BIC_TOP,Customer Intelligence (obsolete),,BIC
AAA/cZAGXAAAFzcAAS,676,BIL,29.08.05,120,12.05.99,1,0,BIL_TOP,Sales Intelligence,,BIL
AAA/cZAGXAAAFzcAAT,517,BIM,29.08.05,120,12.05.99,1,0,BIM_TOP,Marketing Intelligence,,BIM
AAA/cZAGXAAAFzcAAU,191,BIS,29.08.05,120,22.06.98,1,0,BIS_TOP,Applications BIS,,BIS
AAA/cZAGXAAAFzcAAV,677,BIX,29.08.05,120,12.05.99,1,0,BIX_TOP,Interaction Center Intelligence,,BIX
AAA/cZAGXAAAFzcAAW,702,BOM,29.08.05,120,12.08.97,1,0,BOM_TOP,Bills of Material,,BOM
AAA/cZAGXAAAFzcAAX,271,BSC,29.08.05,120,01.12.99,1,0,BSC_TOP,Balanced Scorecard,,BSC
AAA/cZAGXAAAFzcAAY,172,CCT,29.08.05,120,04.09.98,1,0,CCT_TOP,Telephony Manager,,CCT
AAA/cZAGXAAAFzcAAZ,260,CE,29.08.05,120,12.08.97,1,0,CE_TOP,Cash Management,,CE
AAA/cZAGXAAAFzcAAa,202,CHV,29.08.05,120,12.08.97,1,0,CHV_TOP,Supplier Scheduling,,CHV
AAA/cZAGXAAAFzcAAb,283,CN,29.08.05,120,12.08.97,1,0,CN_TOP,Incentive Compensation,,CN
AAA/cZAGXAAAFzcAAc,705,CRP,29.08.05,120,12.08.97,1,0,CRP_TOP,Capacity,,CRP
AAA/cZAGXAAAFzcAAd,170,CS,29.08.05,120,12.08.97,1,0,CS_TOP,Service,,CS
AAA/cZAGXAAAFzcAAe,511,CSC,29.08.05,120,12.05.99,1,0,CSC_TOP,Customer Care,,CSC
AAA/cZAGXAAAFzcAAf,512,CSD,29.08.05,120,12.05.99,1,0,CSD_TOP,Depot Repair,,CSD
AAA/cZAGXAAAFzcAAg,513,CSF,29.08.05,120,12.05.99,1,0,CSF_TOP,Field Service,,CSF
AAA/cZAGXAAAFzcAAh,523,CSP,29.08.05,120,02.09.99,1,0,CSP_TOP,Spares Management,,CSP
AAA/cZAGXAAAFzcAAi,698,CSR,29.08.05,120,11.11.99,1,0,CSR_TOP,Scheduler,,CSR
AAA/cZAGXAAAFzcAAj,514,CSS,11.01.06,120,12.05.99,1,0,CSS_TOP,Support (obsolete),,CSS
AAA/cZAGXAAAFzcAAk,707,CST,29.08.05,120,12.08.97,1,0,BOM_TOP,Cost Management,,BOM
AAA/cZAGXAAAFzcAAl,8731,CUA,29.08.05,120,03.11.99,1,0,CUA_TOP,Capital Resource Logistics - Assets,,CUA
AAA/cZAGXAAAFzcAAm,8724,CUF,29.08.05,120,12.05.99,1,0,CUF_TOP,Capital Resource Logistics - Financials,,CUF
AAA/cZAGXAAAFzcAAn,8722,CUI,29.08.05,120,22.10.99,1,0,CUI_TOP,Network Logistics - Inventory,,CUI
AAA/cZAGXAAAFzcAAo,8729,CUN,12.10.05,120,07.09.99,1,0,CUN_TOP,Network Logistics - NATS (obsolete),,CUN
AAA/cZAGXAAAFzcAAp,8723,CUP,29.08.05,120,22.10.99,1,0,CUP_TOP,Network Logistics - Purchasing,,CUP
AAA/cZAGXAAAFzcAAq,8727,CUS,29.08.05,120,12.05.99,1,0,CUS_TOP,Network Logistics,,CUS
AAA/cZAGXAAAFzcAAr,708,CZ,29.08.05,120,12.08.97,1,0,CZ_TOP,Configurator,,CZ
AAA/cZAGXAAAFzcAAs,803,DT,29.08.05,120,12.08.97,1,0,DT_TOP,DateTrack,,PER
