ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGKAAAFMGABS,67484,OE_SALES_ORDERS_10SC,,28.06.96,1,0,28.06.96,1,OE_SALES_ORDERS_10SC,Orders, Returns Main Menu
AAA/JXAGKAAAFL9AAe,67486,AS_WAREHOUSE,,28.06.96,1,0,28.06.96,1,AS_WAREHOUSE,
AAA/JXAGXAAAFJPABL,67488,WIP_REPETITIVE_10G,STANDARD,28.06.96,121,0,28.06.96,1,WIP_REPETITIVE_10G,
AAA/JXAGXAAAFJPABG,67490,WIP_NAVIGATE_10G,STANDARD,28.06.96,2,0,28.06.96,1,WIP_NAVIGATE_10G,
AAA/JXAGKAAAFL/AAE,67499,CN_MAIN,STANDARD,28.06.96,2,0,28.06.96,1,CN_MAIN,Oracle Commissions Main Menu
AAA/JXAGKAAAFL/AAK,67500,CN_SETUP,STANDARD,28.06.96,2,0,28.06.96,1,CN_SETUP,Oracle Commissions Setup Menu
AAA/JXAGKAAAFL/AAI,67501,CN_PLANS,STANDARD,28.06.96,2,0,28.06.96,1,CN_PLANS,Oracle Commissions Compensation Plan Menu
AAA/JXAGKAAAFL/AAJ,67502,CN_SALESPEOPLE,STANDARD,28.06.96,2,0,28.06.96,1,CN_SALESPEOPLE,Oracle Commissions Salesperson Menu
AAA/JXAGKAAAFL+ABp,67504,CN_ADMIN,STANDARD,28.06.96,2,0,28.06.96,1,CN_ADMIN,Oracle Commissions Process Submission Menu
AAA/JXAGXAAAFJMABg,67510,QA_SETUP,STANDARD,28.06.96,2,0,28.06.96,1,QA_SETUP,Quality data definition
AAA/JXAGXAAAFJMABZ,67511,QA_DATA_COLLECTION,,01.04.04,2,0,28.06.96,1,QA_DATA_COLLECTION,Enter or update quality results
AAA/JXAGXAAAFJMABb,67512,QA_INQUIRIES,,28.06.96,2,0,28.06.96,1,QA_INQUIRIES,Query quality results
AAA/JXAGXAAAFJMABY,67513,QA_CHARTS,STANDARD,28.06.96,2,0,28.06.96,1,QA_CHARTS,Chart quality results
AAA/JXAGXAAAFJMABe,67514,QA_REPORTS,STANDARD,28.06.96,2,0,28.06.96,1,QA_REPORTS,Report quality results
AAA/JXAGXAAAFJMABi,67518,QA_TOP,STANDARD,28.06.96,2,0,28.06.96,1,QA_TOP,Oracle Quality
AAA/JXAGXAAAFJMABd,67519,QA_OTHER,STANDARD,28.06.96,2,0,28.06.96,1,QA_OTHER,View concurrent requests, set user profile options, and change organization
AAA/JXAGKAAAFL/ABr,67520,FA_INQUIRY,STANDARD,28.06.96,2,0,28.06.96,1,FA_INQUIRY,Inquiry menu for Oracle Assets
AAA/JXAGKAAAFMAAAU,67521,FA_TRANSACTION,STANDARD,28.06.96,2,0,28.06.96,1,FA_TRANSACTION,Transaction menu for Oracle Assets
AAA/JXAGKAAAFMAAAF,67524,FA_MASS_TRX,STANDARD,28.06.96,2,0,28.06.96,1,FA_MASS_TRX,Mass Transaction menu for Oracle Assets
AAA/JXAGKAAAFL/ABp,67532,FA_DEPRN,STANDARD,28.06.96,2,0,28.06.96,1,FA_DEPRN,Depreciation menu for Oracle Assets
AAA/JXAGKAAAFMAAAS,67534,FA_TAX,STANDARD,28.06.96,2,0,28.06.96,1,FA_TAX,Tax menu for Oracle Assets
AAA/JXAGKAAAFL/ABo,67535,FA_BUDGET,STANDARD,28.06.96,2,0,28.06.96,1,FA_BUDGET,Budget menu for Oracle Assets
AAA/JXAGKAAAFMAAAM,67536,FA_SETUP_ASSETS,STANDARD,28.06.96,2,0,28.06.96,1,FA_SETUP_ASSETS,Setup menu for Oracle Assets
AAA/JXAGKAAAFMAAAP,67537,FA_SETUP_MAIN,STANDARD,28.06.96,2,0,28.06.96,1,FA_SETUP_MAIN,Main Setup menu for Oracle Assets
AAA/JXAGKAAAFMAAAN,67542,FA_SETUP_DEPRN,STANDARD,28.06.96,2,0,28.06.96,1,FA_SETUP_DEPRN,Setup Depreciation menu for Oracle Assets
AAA/JXAGKAAAFMAAAJ,67544,FA_PURGE,STANDARD,28.06.96,2,0,28.06.96,1,FA_PURGE,Purge menu for Oracle Assets Administrator
AAA/JXAGKAAAFMAAAC,67545,FA_MAIN,STANDARD,28.06.96,2,0,28.06.96,1,FA_MAIN,Main menu for Oracle Assets
AAA/JXAGKAAAFL/ABq,67547,FA_FIN_SETUP_GL,STANDARD,28.06.96,2,0,28.06.96,1,FA_FIN_SETUP_GL,Setup forms in General Ledger required for Oracle Assets
AAA/JXAGKAAAFMAAAO,67548,FA_SETUP_FINANCIALS,STANDARD,28.06.96,2,0,28.06.96,1,FA_SETUP_FINANCIALS,Setup forms in other products required for Oracle Assets
