APPLICATION_ID, PROFILE_OPTION_ID, LEVEL_ID, LEVEL_VALUE, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, PROFILE_OPTION_VALUE, LEVEL_VALUE_APPLICATION_ID, LEVEL_VALUE2
0,109,10004,1,02.03.99,1,02.03.99,1,28550,noprint,,
0,1058,10001,0,04.05.15,1150,22.01.99,1,51679,Y,,
0,1066,10004,1,02.03.99,1,02.03.99,1,1,LN03,,
0,1891,10001,0,16.10.06,120,28.01.98,1,0,Y,,
0,1892,10001,0,20.04.16,0,28.01.98,1,1213262,Y,,
0,1902,10002,8301,06.07.98,1,06.07.98,1,0,N,,
0,1902,10003,20900,11.08.97,1,11.08.97,1,16017,N,7000,
0,1994,10001,0,10.09.97,1,10.09.97,1,0,N,,
0,2351,10001,0,18.11.97,1,18.11.97,1,0,-1,,
0,2353,10001,0,29.06.20,-1,26.10.99,1,-1,http://acwa-apps01.acwapower.com:8060/pls/TST,,
0,2640,10001,0,05.09.97,1,05.09.97,1,0,58,,
0,2665,10001,0,04.05.00,120,22.09.97,1,0,Y,,
0,2867,10001,0,04.05.00,120,14.11.97,1,0,N,,
191,7332,10001,0,05.02.03,2,05.02.03,2,0,5,,
0,3072,10001,0,25.06.03,-1,30.10.98,1,-1,-1,,
0,3156,10002,101,04.05.00,120,14.07.99,1,0,begin gl_security_pkg.init;end;,,
0,3156,10002,140,04.05.00,120,18.03.99,1,0,begin fa_security.set_fa_context(140); end;,,
0,3213,10001,0,04.05.00,120,15.01.99,1,0,text/tab-separated-values,,
0,3214,10001,0,26.10.18,1732,15.01.99,1,13173293,Y,,
0,3215,10001,0,02.11.99,1,02.11.99,1,42279,Y,,
0,3259,10001,0,16.03.99,1,16.03.99,1,29009,N,,
0,3449,10001,0,11.11.99,1,11.11.99,1,43383,FND:LIBRARY,,
0,3449,10002,101,14.09.99,1,14.09.99,1,38480,GL:CONTENTS,,
0,3449,10002,175,04.11.99,1,04.11.99,1,0,EC:CONTENTS,,
0,3449,10002,185,04.11.99,1,04.11.99,1,0,XTR:CONTENTS,,
0,3449,10002,190,04.11.99,1,04.11.99,1,0,AZ:CONTENTS,,
0,3449,10002,200,04.11.99,1,04.11.99,1,0,AP:CONTENTS,,
0,3449,10002,201,04.11.99,1,04.11.99,1,0,PO:CONTENTS,,
0,3449,10002,202,04.11.99,1,04.11.99,1,0,CHV:CONTENTS,,
0,3449,10002,222,14.09.99,1,14.09.99,1,0,AR:CONTENTS,,
0,3449,10002,240,14.09.99,1,14.09.99,1,0,PN:CONTENTS,,
0,3449,10002,250,30.08.01,1,04.11.99,1,0,QA:QATOP,,
0,3449,10002,260,04.11.99,1,04.11.99,1,0,CE:CONTENTS,,
0,3449,10002,275,14.09.99,1,14.09.99,1,0,PA:CONTENTS,,
0,3449,10002,388,04.11.99,1,04.11.99,1,0,WPS:CONTENTS,,
0,3449,10002,401,04.11.99,1,04.11.99,1,0,INV:CONTENTS,,
0,3449,10002,550,20.08.99,1,20.08.99,1,0,GMA:CONTENTS,,
0,3449,10002,551,20.08.99,1,20.08.99,1,0,GMI:CONTENTS,,
0,3449,10002,552,20.08.99,1,20.08.99,1,0,GMD:CONTENTS,,
0,3449,10002,553,20.08.99,1,20.08.99,1,0,GME:CONTENTS,,
0,3449,10002,554,20.08.99,1,20.08.99,1,0,GMP:CONTENTS,,
0,3449,10002,555,20.08.99,1,20.08.99,1,0,GMF:CONTENTS,,
0,3449,10002,556,20.08.99,1,20.08.99,1,0,GML:CONTENTS,,
0,3449,10002,557,20.08.99,1,20.08.99,1,0,GR:CONTENTS,,
0,3449,10002,600,20.09.99,1,20.09.99,1,38834,AX:CONTENTS,,
0,3449,10002,702,04.11.99,1,04.11.99,1,0,BOM:CONTENTS,,
0,3449,10002,703,04.11.99,1,04.11.99,1,0,ENG:CONTENTS,,
0,3449,10002,704,04.11.99,1,04.11.99,1,0,MRP:CONTENTS,,
0,3449,10002,705,04.11.99,1,04.11.99,1,0,CRP:CONTENTS,,
0,3449,10002,706,04.11.99,1,04.11.99,1,0,WIP:CONTENTS,,
0,3449,10002,707,04.11.99,1,04.11.99,1,0,BOM:CONTENTS_CST,,
0,3449,10002,708,04.11.99,1,04.11.99,1,0,OC:CONTENTS,,
0,3449,10002,712,04.11.99,1,04.11.99,1,0,PJM:CONTENTS,,
0,3449,10002,714,04.11.99,1,04.11.99,1,0,FLM:CONTENTS,,
0,3449,10002,723,06.10.99,1,06.10.99,1,39843,MSO:CONTENTS,,
