PROFILE_OPTION_NAME, LANGUAGE, USER_PROFILE_OPTION_NAME, CREATED_BY, CREATION_DATE, LAST_UPDATED_BY, LAST_UPDATE_DATE, LAST_UPDATE_LOGIN, DESCRIPTION, SOURCE_LANG
ACCESS_ASSIGN_TEMPLATE_UNSERV_CP,US,IES: - Assign Unserviced CPs,1,12.06.97,121,27.03.08,0,Assign Unserviced CPs,US
ACCESS_AUTOASSIGN_CONTACT,US,IES: AutoAssign Contacts,1,12.06.97,121,27.03.08,0,Autoassign contacts,US
ACCESS_CODE_UPDATE_TYPE,US,IES: Access Code Update Type,1,12.06.97,121,27.03.08,0,Access Code Update Types (2),US
ACCESS_TEMPLATE_DEFAULT_TYPE,US,IES: Default Template Type,1,12.06.97,121,27.03.08,0,Template types for access control,US
ACCESS_TERMINATE_ASSIGN_EFFECT,US,IES: Termination Effect,1,12.06.97,121,27.03.08,0,Effect of chooosing TERMINATE option in CSXACDAT,US
ACCOUNT_GENERATOR:DEBUG_MODE,US,Account Generator:Run in Debug Mode,1,12.10.98,120,21.01.05,0,Controls the internal debug settings, especially the mode of workflow processes created. (Synch vs Normal),US
ACCOUNT_ISSUE_TXN,US,TP:INV Miscellaneous Issue and Receipt form,1,12.06.97,120,21.01.05,0,This is a profile for the Miscellaneous txn form,US
ACK_REQD_FLAG,US,XNP: Acknowledgement Required Flag for Send Message,1,14.12.99,120,21.01.05,0,Ensures guaranteed delivery of messages. Adapters will send ACK back to calling program. Default is 'N'.,US
ACTIVATE_CONTRACTS_PREFERRED_ENGINEERS,US,JTFAM: Activate Contracts Preferred Resources,1,11.11.99,120,28.09.05,0,This profile is to activate the Contracts Preferred Engineers option,US
ACTIVATE_INSTALLED_BASE_PREFERRED_ENGINEERS,US,Activate Installed Base Preferred Engineers,1,11.11.99,1,11.11.99,43392,This profile is to activate the Installed Base Preferred Engineers option,US
AFLOG_FILENAME,US,FND: Debug Log Filename for Middle-Tier,1,12.10.98,2,09.11.04,0,Full directory path and filename for Middle-Tier logs,US
AFLOG_LEVEL,US,FND: Debug Log Level,1,12.10.98,2,09.11.04,0,Minimum level for Logging.  If this profile isn't set, the default level is 6 (UNEXPECTED).,US
AFLOG_MODULE,US,FND: Debug Log Module,1,12.10.98,2,09.11.04,0,Module filter(s) for Logging.  This is a space separated list of modules.  If there is no value for this profile, all modules will be logged.,US
AGING_PERIOD,US,PO: ERS Aging Period,1,11.06.99,120,21.01.05,0,Aging period (days) before an invoice is created out of a receipt,US
AK_UTL_FILE_IN,US,AK: Loaders input directory - Obsolete,1,13.04.99,1,31.05.02,0,Input directory for Core Modules seed data loaders - Obsolete,US
AK_UTL_FILE_OUT,US,AK: Loaders output directory - Obsolete,1,13.04.99,1,31.05.02,0,Output directory for Core Modules seed data loaders - Obsolete,US
ALLOW_RATE_OVERRIDE_FOR_USER_RATE_TYPE,US,PO: Allow Rate Override For User Rate Type,1,11.12.98,120,21.01.05,0,Allow user to override rate of User rate type,US
ALLOW_SERVICE_DATE_CHANGE,US,Service: Allow Service date change,1,18.09.98,121,27.03.08,0,Allow the user to change the service start and end dates,US
APPLWRK,US,FND: Override Directory,1,13.10.98,120,21.01.05,0,This directory will be looked in first when Oracle Applications is looking for program files like forms or messages.,US
APPROVE_TITLE,US,PO: Approve Title,1,12.06.97,120,21.01.05,0,Title for the Approvals Block. Set from the Menu.,US
APPS_SERVLET_AGENT,US,Apps Servlet Agent,1,09.11.99,120,21.01.05,0,Base URL for Servlet Execution,US
APPS_WEB_AGENT,US,Applications Web Agent,1,09.11.99,120,21.01.05,0,Base URL for Apps schema,US
AP_EXPENSE_ENABLE_WORKFLOW,US,Expenses: Enable Workflow,1,26.08.97,2,09.09.02,0,,US
AP_WEB_ALLOW_CREDIT_LINES,US,OIE:Allow Credit Lines,1,18.05.99,120,21.01.05,0,Enables users of Self-Service Expenses to enter negative amounts for receipts,US
AP_WEB_ALLOW_NON_BASE_REIMB,US,OIE:Allow Non-Base Pay,1,18.05.99,120,21.01.05,0,Determines whether user of Self-Service Expenses can choose reimbursement currency other than primary functional currency,US
AP_WEB_ALLOW_OVERRIDE_APPROVER,US,OIE:Enable Approver,1,18.05.99,120,21.01.05,0,Determines whether Overriding Approver field in header page of Self-Service Expenses is displayed/enterable,US
AP_WEB_APPROVER_REQ_CC,US,OIE:CC Approver Req,1,18.05.99,120,21.01.05,0,Determines whether Overriding Approver field in Self-Service Expenses header page is required when user enters cost center other than default cost center,US
AP_WEB_DESC_FLEX_NAME,US,OIE:Enable DescFlex,1,18.05.99,120,21.01.05,0,Determines if Expense Report Line Descriptive Flexfield definition is displayed in Enter Receipts page of Self-Service Expenses,US
AP_WEB_ENABLE_PROJECT_ACCOUNTING,US,OIE:Enable Project Allocations,1,18.05.99,120,22.12.05,0,Enables the Oracle Projects integration feature of Internet Expenses.,US
AP_WEB_OVERRIDE_APPR_REQ,US,OIE:Approver Required,1,18.05.99,120,21.01.05,0,Determines whether Overriding Approver field in header page of Self-Service Expenses is required,US
AP_WEB_PURPOSE_REQUIRED,US,OIE:Purpose Required,1,18.05.99,120,21.01.05,0,Determines whether Purpose field in header page of Self-Service Expenses is required,US
AP_WEB_REPNUM_PREFIX,US,OIE:Report Number Prefix,1,18.05.99,120,21.01.05,0,Allows you to add as a prefix characters to expense report number, providing easy identification of expense reports entered using Self-Service Expenses,US
AP_WEB_TAX_ENABLE,US,OIE:Enable Tax,1,18.05.99,120,21.01.05,0,Enables the tax features of Self-Service Expenses and displays additional tax fields that are enterable/updatable for each receipt,US
AR_ADJUST_CREDIT_UNCONFIRMED_INVOICE,US,AR: Invoices with Unconfirmed Receipts,1,12.06.97,120,21.01.05,0,Adjust or credit invoices that have been selected for automatic receipt,US
AR_ALLOW_MANUAL_TAX_LINES,US,Tax: Allow Manual Tax Lines,1,12.06.97,120,19.08.05,0,Allow or disallow tax lines to be entered manually,US
AR_ALLOW_OVERAPPLICATION_IN_LOCKBOX,US,AR: Allow Overapplication In Lockbox,1,11.02.99,120,21.01.05,0,Allow overapplication to an invoice, whose type is setup to be overapplied, through a lockbox receipt.,US
AR_ALLOW_SALESCREDIT_UPDATE,US,AR: Allow Update Of Existing Sales Credits,1,12.06.97,120,21.01.05,0,Determines if sales credits can be updated or must be adjusted with additional sales credit records.,US
AR_ALLOW_TAX_CODE_OVERRIDE,US,Tax: Allow Override of Tax Code,1,12.06.97,120,19.08.05,0,Allow or disallow override of assigned Tax Code,US
AR_ALLOW_TAX_UPDATE,US,Tax: Allow Ad Hoc Tax Changes,1,12.06.97,120,19.08.05,0,Allow or disallow updates to tax rate and tax amount for adhoc tax codes,US
AR_ALLOW_TRX_LINE_EXEMPTIONS,US,Tax: Allow Override of Customer Exemptions,1,12.06.97,120,19.10.05,0,Allow or disallow override of handling for Customer Exemptions,US
AR_ALT_NAME_SEARCH,US,AR: Alternate Name Search,1,26.11.97,120,21.01.05,0,Use Alternate Name Search,US
AR_APPLICATION_GL_DATE_DEFAULT,US,AR: Application GL Date Default,1,14.07.98,120,21.01.05,0,Determine the logic to default GL date for applications,US
AR_ARCABP_DEBUG_LEVEL,US,AR: Debug Level for Lockbox and PostBatch,1,12.06.97,120,21.01.05,0,Set debug level for Lockbox and PostBatch,US
AR_ARDLP_REMIT_SIZE,US,AR: Dunning Letter Remit-To Address Label Size,1,04.09.97,120,21.01.05,0,Allows user to change the Dunning Letter Remit-To address label size,US
AR_ARLPLB_COMMIT_OPTION,US,AR: Commit between validations in Lockbox,1,16.07.97,120,21.01.05,0,Commit between validations in Lockbox Processing,US
AR_AUTOMATIC_CONTACT_NUMBERING,US,AR: Automatic Contact Numbering,1,12.06.97,120,21.01.05,0,Contact numbers are automatically system generated,US
AR_AUTOMATIC_RECEIPT_CREATION_ACTION,US,AR: Automatic Receipt Creation Authority,1,12.06.97,120,21.01.05,0,Automatic receipt creation authority,US
