APPLICATION_ID, REQUEST_GROUP_ID, REQUEST_UNIT_TYPE, UNIT_APPLICATION_ID, REQUEST_UNIT_ID, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN
191,1082,P,454,47168,10.11.04,120,10.11.04,120,0
191,1082,P,454,47169,10.11.04,120,10.11.04,120,0
191,1082,P,677,46156,14.05.03,120,14.05.03,120,0
191,1082,P,677,46158,14.05.03,120,14.05.03,120,0
191,1082,P,690,47433,12.07.04,120,12.07.04,120,0
191,1082,P,870,47508,07.10.04,120,07.10.04,120,0
800,887,P,800,32405,14.09.00,2,14.09.00,2,0
191,1082,S,191,733,05.12.05,120,05.12.05,120,0
8402,907,P,8402,46971,14.04.04,2,14.04.04,2,0
702,1152,P,602,48108,09.08.06,120,09.08.06,120,0
8402,907,P,8402,46963,14.04.04,2,14.04.04,2,0
671,874,P,671,42325,06.01.06,120,06.01.06,120,0
8405,1179,P,8405,47108,23.02.05,2,23.02.05,2,0
401,58,P,401,44701,17.05.06,2,17.05.06,2,0
401,58,P,401,47152,26.09.05,120,26.09.05,120,0
702,1233,P,201,32878,04.05.05,120,04.05.05,120,0
702,1233,P,702,46579,04.05.05,120,04.05.05,120,0
702,1233,P,702,46578,04.05.05,120,04.05.05,120,0
401,58,P,401,47151,26.09.05,120,26.09.05,120,0
800,887,P,800,32896,14.09.00,2,14.09.00,2,0
300,101,P,300,41478,12.06.01,0,12.06.01,0,0
300,101,P,300,41479,12.06.01,0,12.06.01,0,0
800,925,P,800,43338,10.06.02,2,10.06.02,2,0
401,58,P,401,47149,05.10.05,120,05.10.05,120,0
401,58,P,401,47148,05.10.05,120,05.10.05,120,0
401,58,P,401,47147,05.10.05,120,05.10.05,120,0
671,874,P,671,47033,31.03.05,120,31.03.05,120,0
671,874,P,671,47032,31.03.05,120,31.03.05,120,0
671,874,P,671,47031,19.10.05,120,19.10.05,120,0
666,1176,P,666,47040,08.08.05,120,08.08.05,120,0
666,1176,P,666,47036,08.08.05,120,08.08.05,120,0
666,1176,P,666,47035,08.08.05,120,08.08.05,120,0
666,1176,P,666,47034,08.08.05,120,08.08.05,120,0
530,984,P,530,41840,04.04.01,2,04.04.01,2,0
696,916,P,696,41822,03.01.07,1,03.01.07,1,0
696,916,P,696,41823,03.01.07,1,03.01.07,1,0
0,821,P,0,38606,01.01.80,2,01.01.80,2,0
696,916,P,696,41821,03.01.07,1,03.01.07,1,0
0,821,P,0,38607,01.01.80,2,01.01.80,2,0
0,821,P,0,38608,01.01.80,2,01.01.80,2,0
0,821,P,0,38609,01.01.80,2,01.01.80,2,0
534,878,P,535,40118,13.02.00,2,13.02.00,2,0
534,878,P,535,40117,13.02.00,2,13.02.00,2,0
0,821,P,800,32896,01.01.80,1,01.01.80,1,0
0,821,P,0,38610,01.01.80,2,01.01.80,2,0
0,821,P,0,38611,01.01.80,2,01.01.80,2,0
534,878,P,534,40125,18.01.00,2,18.01.00,2,0
534,878,P,534,40124,18.01.00,2,18.01.00,2,0
534,878,P,534,40123,18.01.00,2,18.01.00,2,0
50,28,P,50,31867,20.11.92,1,20.11.92,1,0
50,28,P,50,31868,20.11.92,1,20.11.92,1,0
50,28,P,50,31869,20.11.92,1,20.11.92,1,0
50,28,P,50,31870,20.11.92,1,20.11.92,1,0
50,28,P,50,31871,20.11.92,1,20.11.92,1,0
401,58,P,401,47146,05.10.05,120,05.10.05,120,0
401,58,P,401,47145,25.08.05,120,25.08.05,120,0
401,58,P,401,47159,31.03.06,120,31.03.06,120,0
401,122,P,401,47152,16.02.06,120,16.02.06,120,0
401,122,P,401,47151,16.02.06,120,16.02.06,120,0
401,295,P,401,47152,27.06.05,120,27.06.05,120,0
401,295,P,401,47151,27.06.05,120,27.06.05,120,0
438,1180,P,438,47187,24.12.04,120,24.12.04,120,0
438,1180,P,438,47189,28.12.04,120,28.12.04,120,0
438,1180,P,438,47186,27.07.05,120,27.07.05,120,0
7003,724,P,7003,33305,22.03.99,120,22.03.99,120,0
7003,724,P,7003,33306,22.03.99,120,22.03.99,120,0
7003,724,P,7003,39751,15.10.99,120,15.10.99,120,0
7003,724,P,7003,39752,15.10.99,120,15.10.99,120,0
7003,724,P,7003,39789,26.10.99,120,26.10.99,120,0
7003,724,P,7003,39790,26.10.99,120,26.10.99,120,0
7003,724,P,7003,47356,02.02.06,120,02.02.06,120,0
7003,724,P,7003,47350,02.02.06,120,02.02.06,120,0
7003,724,P,7003,47347,02.02.06,120,02.02.06,120,0
7004,809,P,7003,47356,09.08.06,120,09.08.06,120,0
7004,809,P,7003,47347,21.07.06,120,21.07.06,120,0
7004,814,P,7003,47356,21.07.06,120,21.07.06,120,0
7004,814,P,7003,47350,21.07.06,120,21.07.06,120,0
7004,814,P,7004,47438,27.07.06,120,27.07.06,120,0
7004,397,P,7003,47347,21.07.06,120,21.07.06,120,0
7004,398,P,7003,47350,21.07.06,120,21.07.06,120,0
7004,398,P,7003,47347,21.07.06,120,21.07.06,120,0
7004,395,P,7004,47365,06.01.06,120,06.01.06,120,0
7004,805,P,7004,47365,11.01.06,120,11.01.06,120,0
7004,807,P,7004,47365,11.08.06,120,11.08.06,120,0
7004,811,P,7004,47365,11.08.06,120,11.08.06,120,0
7004,396,P,7004,47365,06.01.06,120,06.01.06,120,0
7004,803,P,7004,47425,04.03.05,120,04.03.05,120,0
7004,803,P,7004,47365,11.08.06,120,11.08.06,120,0
7004,808,P,7004,47365,11.08.06,120,11.08.06,120,0
7004,812,P,7004,47365,11.08.06,120,11.08.06,120,0
7004,517,P,7004,47368,06.01.06,120,06.01.06,120,0
7004,518,P,7004,47368,06.01.06,120,06.01.06,120,0
7004,806,P,7004,47368,06.01.06,120,06.01.06,120,0
7004,813,P,7004,47368,06.01.06,120,06.01.06,120,0
7002,732,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47381,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47385,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47391,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47382,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47394,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47395,23.03.06,120,23.03.06,120,0
7002,732,P,7003,47396,20.06.06,120,20.06.06,120,0
7002,732,P,7003,47397,20.06.06,120,20.06.06,120,0
7002,730,P,7003,47356,23.06.06,120,23.06.06,120,0
7002,730,P,7003,47350,23.06.06,120,23.06.06,120,0
7002,730,P,7003,47347,23.06.06,120,23.06.06,120,0
7002,730,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47375,23.03.06,120,23.03.06,120,0
101,111,P,101,32520,11.06.93,1,11.06.93,1,0
696,916,P,696,42714,03.01.07,1,03.01.07,1,0
8405,1179,P,8405,41195,31.03.05,2,31.03.05,2,0
8405,1179,P,8405,47119,23.02.05,2,23.02.05,2,0
8405,1179,P,8405,47116,23.02.05,2,23.02.05,2,0
8405,1179,P,8405,47113,23.02.05,2,23.02.05,2,0
702,1233,P,702,46577,04.05.05,120,04.05.05,120,0
702,1233,P,702,46576,04.05.05,120,04.05.05,120,0
702,1233,P,702,46575,04.05.05,120,04.05.05,120,0
702,1153,P,702,37499,31.10.05,120,31.10.05,120,0
702,1153,P,702,37500,31.10.05,120,31.10.05,120,0
702,1153,P,702,37501,31.10.05,120,31.10.05,120,0
702,1153,P,702,37502,31.10.05,120,31.10.05,120,0
0,6,P,432,46674,02.05.06,120,02.05.06,120,0
191,1082,P,454,46214,01.12.04,120,01.12.04,120,0
191,1082,P,454,47163,05.11.04,120,05.11.04,120,0
191,1082,P,454,47165,10.11.04,120,10.11.04,120,0
534,878,P,534,40122,18.01.00,2,18.01.00,2,0
534,878,P,534,40121,18.01.00,2,18.01.00,2,0
534,878,P,535,40120,13.02.00,2,13.02.00,2,0
534,878,P,535,40119,13.02.00,2,13.02.00,2,0
385,974,A,201,201,24.05.01,2,24.05.01,2,0
385,974,A,401,401,24.05.01,2,24.05.01,2,0
7002,730,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47387,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47389,23.03.06,120,23.03.06,120,0
7002,730,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,736,P,7002,47345,23.03.06,120,23.03.06,120,0
7002,736,P,7003,33976,23.06.06,120,23.06.06,120,0
7002,736,P,7003,47342,23.06.06,120,23.06.06,120,0
7002,736,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47378,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47384,23.03.06,120,23.03.06,120,0
101,711,P,101,20823,09.02.99,1,09.02.99,1,27914
101,711,P,101,20825,09.02.99,1,09.02.99,1,27914
101,711,P,101,20827,09.02.99,1,09.02.99,1,27914
101,711,P,101,20834,09.02.99,1,09.02.99,1,27914
101,711,P,101,21058,09.02.99,1,09.02.99,1,27914
101,711,P,101,31697,09.02.99,1,09.02.99,1,27914
101,711,P,101,37165,09.02.99,1,09.02.99,1,27914
101,711,P,101,37198,09.02.99,1,09.02.99,1,27914
7002,736,P,7003,47390,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47393,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47376,23.03.06,120,23.03.06,120,0
7002,736,P,7003,47396,23.06.06,120,23.06.06,120,0
7002,736,P,7003,47397,23.06.06,120,23.06.06,120,0
7002,343,P,7003,47356,23.06.06,120,23.06.06,120,0
7002,343,P,7003,47350,23.06.06,120,23.06.06,120,0
7002,343,P,7003,47347,23.06.06,120,23.06.06,120,0
7002,343,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47387,23.03.06,120,23.03.06,120,0
7002,343,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47342,23.06.06,120,23.06.06,120,0
7002,737,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47378,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47384,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47390,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47393,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47376,23.03.06,120,23.03.06,120,0
7002,737,P,7003,47396,20.06.06,120,20.06.06,120,0
7002,737,P,7003,47397,20.06.06,120,20.06.06,120,0
7002,738,P,7002,47333,23.03.06,120,23.03.06,120,0
7002,738,P,7003,44708,23.06.06,120,23.06.06,120,0
7002,738,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47381,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47385,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47391,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47392,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47394,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47395,23.03.06,120,23.03.06,120,0
7002,738,P,7003,47396,23.06.06,120,23.06.06,120,0
7002,738,P,7003,47397,20.06.06,120,20.06.06,120,0
7002,339,P,7003,47356,23.06.06,120,23.06.06,120,0
7002,339,P,7003,47350,23.06.06,120,23.06.06,120,0
7002,339,P,7003,47347,23.06.06,120,23.06.06,120,0
7002,339,P,7003,47370,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47375,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47372,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47373,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47369,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47371,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47387,23.03.06,120,23.03.06,120,0
7002,339,P,7003,47392,23.03.06,120,23.03.06,120,0
101,712,P,101,39494,01.01.80,1,01.01.80,1,0
101,712,P,101,39495,01.01.80,1,01.01.80,1,0
